input,output
A375_CJ1,CVCL_A1VP
A375_CJ3,CVCL_B3PJ
CHL1DM,CVCL_1122
CJM,CVCL_U797
CS1,CVCL_T023
CTV1DM,CVCL_1150
D384,CVCL_1157
DL,CVCL_U760
F36E,CVCL_2037
F5,CVCL_V616
H157,CVCL_2458
HAP1,CVCL_Y019
JR,CVCL_RT33
JURKATCLONEE61,CVCL_0367
K2,CVCL_AT85
KD,CVCL_U757
KPNS19S,CVCL_1340
LY2,CVCL_9579
ML1,CVCL_H525
MM1,CVCL_5801
NCIH157DM,CVCL_0463
OCILY13,CVCL_8797
RAMOSRA1,CVCL_0597
RC2,CVCL_L510
RH1,CVCL_1658
RH3,CVCL_L415
RH4,CVCL_5916
SBC2,CVCL_W531
ST,CVCL_U347
THUR14TKB,CVCL_5953
U87MG,CVCL_0022
UACC-62_CJ1,CVCL_A1VN
YUHOIN0650,CVCL_J521
