"rowname","ncit","oncotree"
"C102872","C102872","OPHSC"
"C105556","C105556","LGSOC"
"C114656","C114656","UASC"
"C114828","C114828","MEL"
"C115460","C115460","SSM"
"C116317","C116317","RSCC"
"C121654","C121654","SCSRMS"
"C121668","C121668","PMHE"
"C121932","C121932","GCTB"
"C121955","C121955","CCPRC"
"C122585","C122585","SBMOV"
"C12311","C12311","CERVIX"
"C123329","C123329","THME"
"C123384","C123384","HNMASC"
"C12346","C12346","LGT"
"C12366","C12366","BONE"
"C12391","C12391","STOMACH"
"C12392","C12392","LIVER"
"C12393","C12393","PANCREAS"
"C12400","C12400","THYROID"
"C12401","C12401","EYE"
"C12404","C12404","OVARY"
"C12405","C12405","UTERUS"
"C12408","C12408","VULVA"
"C12409","C12409","PENIS"
"C12410","C12410","PROSTATE"
"C12412","C12412","TESTIS"
"C12414","C12414","BLADDER"
"C12415","C12415","KIDNEY"
"C12418","C12418","HEAD_NECK"
"C12433","C12433","THYMUS"
"C12434","C12434","MYELOID"
"C12438","C12438","BRAIN"
"C12465","C12465","PNS"
"C12468","C12468","LUNG"
"C12469","C12469","PLEURA"
"C12470","C12470","SKIN"
"C12471","C12471","SOFT_TISSUE"
"C125890","C125890","SCGBM"
"C12666","C12666","ADRENAL_GLAND"
"C126771","C126771","UNEC"
"C12678","C12678","BILIARY_TRACT"
"C126806","C126806","ETMF"
"C126998","C126998","HGESS"
"C12736","C12736","BOWEL"
"C12770","C12770","PERITONEUM"
"C12801","C12801","TISSUE"
"C128047","C128047","CELI"
"C128048","C128048","CERMS"
"C128294","C128294","VGCT"
"C129325","C129325","DIFG"
"C129327","C129327","APXA"
"C129442","C129442","MBL"
"C129443","C129443","MBL"
"C129445","C129445","MBL"
"C129526","C129526","SFTCNS"
"C12971","C12971","BREAST"
"C129782","C129782","AMLCEBPA"
"C129785","C129785","AMLBCRABL1"
"C129786","C129786","AMLRUNX1"
"C129788","C129788","BLLBCRABL1L"
"C129853","C129853","MLNPCM1JAK2"
"C129863","C129863","OHNCA"
"C129927","C129927","CHDM"
"C130035","C130035","CMML0"
"C130037","C130037","MDSRSSLD"
"C130038","C130038","MNGLP"
"C130039","C130039","BLLIAMP21"
"C130043","C130043","ETPLL"
"C13011","C13011","AMPULLA_OF_VATER"
"C131906","C131906","EBVMCU"
"C131911","C131911","BLL11Q"
"C131913","C131913","HGBCLMYCBCL2"
"C132067","C132067","LGGNOS"
"C132296","C132296","APTAD"
"C13252","C13252","LYMPH"
"C133187","C133187","HNMUCM"
"C133494","C133494","LBLIRF4"
"C136486","C136486","LAIS"
"C138181","C138181","ISFN"
"C138185","C138185","DFL"
"C138191","C138191","ISMCL"
"C138320","C138320","HHV8DLBCL"
"C139011","C139011","NPTLTFH"
"C139012","C139012","BIALCL"
"C139021","C139021","ITLPDGI"
"C139023","C139023","PCATCL"
"C139028","C139028","FHPTLD"
"C146706","C146706","NUTCL"
"C154473","C154473","MUP"
